1,Bulbasaur,4
2,Ivysaur,4
3,Venusaur,5
4,Charmander,5
5,Charmeleon,5
6,Charizard,5
7,Squirtle,4
8,Wartortle,4
9,Blastoise,5
10,Caterpie,2
11,Metapod,2
12,Butterfree,2
13,Weedle,2
14,Kakuna,2
15,Beedrill,2
16,Pidgey,2
17,Pidgeotto,2
18,Pidgeot,2
19,Rattata,1
20,Raticate,1
21,Spearow,1
22,Fearow,1
23,Ekans,1
24,Arbok,1
25,Pikachu,3
26,Raichu,3
27,Sandshrew,4
28,Sandslash,5
29,Nidoran_F,4
30,Nidorina,4
31,Nidoqueen,5
32,Nidoran_M,4
33,Nidorino,4
34,Nidoking,5
35,Clefairy,5
36,Clefable,5
37,Vulpix,4
38,Ninetales,5
39,Jigglypuff,4
40,Wigglytuff,5
41,Zubat,1
42,Golbat,1
43,Oddish,4
44,Gloom,4
45,Vileplume,5
46,Paras,1
47,Parasect,1
48,Venonat,1
49,Venomoth,1
50,Diglett,4
51,Dugtrio,5
52,Meowth,4
53,Persian,5
54,Psyduck,1
55,Golduck,1
56,Mankey,4
57,Primeape,5
58,Growlithe,4
59,Arcanine,5
60,Poliwag,4
61,Poliwhirl,5
62,Poliwrath,5
63,Abra,4
64,Kadabra,4
65,Alakazam,5
66,Machop,4
67,Machoke,5
68,Machamp,5
69,Bellsprout,4
70,Weepinbell,4
71,Victreebel,5
72,Tentacool,4
73,Tentacruel,5
74,Geodude,4
75,Graveler,5
76,Golem,5
77,Ponyta,4
78,Rapidash,5
79,Slowpoke,1
80,Slowbro,4
81,Magnemite,5
82,Magneton,5
83,Farfetch'd,5
84,Doduo,1
85,Dodrio,1
86,Seel,5
87,Dewgong,5
88,Grimer,4
89,Muk,5
90,Shellder,4
91,Cloyster,5
92,Gastly,4
93,Haunter,4
94,Gengar,5
95,Onix,1
96,Drowzee,5
97,Hypno,5
98,Krabby,4
99,Kingler,5
100,Voltorb,4
101,Electrode,5
102,Exeggcute,3
103,Exeggutor,3
104,Cubone,4
105,Marowak,5
106,Hitmonlee,5
107,Hitmonchan,5
108,Lickitung,4
109,Koffing,4
110,Weezing,5
111,Rhyhorn,4
112,Rhydon,5
113,Chansey,5
114,Tangela,1
115,Kangaskhan,5
116,Horsea,4
117,Seadra,5
118,Goldeen,4
119,Seaking,5
120,Staryu,4
121,Starmie,5
122,Mr.Mime,5
123,Scyther,1
124,Jynx,5
125,Electabuzz,5
126,Magmar,1
127,Pinsir,1
128,Tauros,5
129,Magikarp,4
130,Gyarados,5
131,Lapras,5
132,Ditto,5
133,Eevee,3
134,Vaporeon,3
135,Jolteon,3
136,Flareon,3
137,Porygon,5
138,Omanyte,5
139,Omastar,5
140,Kabuto,5
141,Kabutops,5
142,Aerodactyl,5
143,Snorlax,3
144,Articuno,5
145,Zapdos,5
146,Moltres,5
147,Dratini,4
148,Dragonair,4
149,Dragonite,5
150,Mewtwo,5
151,Mew,5
